"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Belize","BLZ","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bermuda","BMU","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bolivia","BOL","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","7.334","3.667","3.667","3.667","3.667","3.667","3.667","0","3.667","3.667","3.667","3.667","0","0","0","3.667","0","0","0","3.667","3.667","3.667","3.667","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Brazil","BRA","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","4968.785","4682.759","5672.849","5423.493","6175.228","6948.965","8371.761","8129.739","8540.443","9424.19","8910.81","8991.484","9380.186","9017.153","9548.868","11070.673","11529.048","15067.703","17722.611","18478.013","20003.485","19739.461","21569.294","23945.51","29020.638","34898.839","35151.862","40267.327","39808.952","39962.966","35749.583","41037.397","39442.252","40443.343","42115.495","44403.703","46893.596","47678.334","46607.57","48217.383","51249.992","50644.937","48826.105","52379.428","54480.619","52815.801","52269.418","55346.031","56006.091","44495.378","58543.655","64165.166","62944.055","68840.591","73666.363","","","","","",
"Barbados","BRB","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","3.667","3.667","3.667","0","0","0","3.667","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Brunei Darussalam","BRN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Bhutan","BTN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","3.667","3.667","3.667","3.667","3.667","0","0","0","44.004","47.671","0","47.671","47.671","80.674","44.004","62.339","77.007","91.675","187.017","179.683","176.016","176.016","146.68","168.682","110.01","25.669","99.009","84.341","80.674","113.677","58.672","77.007","95.342","139.346","194.351","253.023","","","","","",
"Botswana","BWA","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","22.002","51.338","88.008","187.017","594.054","781.071","832.409","942.419","986.423","1008.425","1100.1","1030.427","1045.095","1158.772","1067.097","1239.446","1301.785","1430.13","1749.159","1719.823","1947.177","1925.175","1954.511","1976.513","1587.811","1701.488","2024.184","1595.145","2053.52","2005.849","2090.19","1804.164","1983.847","2141.528","2093.857","1936.176","1954.511","1576.81","2112.192","1430.13","1301.785","2159.863","3846.683","","","","","",
"Central African Republic","CAF","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Canada","CAN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","49676.849","45632.148","47069.612","46636.906","51961.39","54220.262","52625.117","57362.881","60626.511","59167.045","58862.684","55921.75","62206.988","52056.732","48547.413","61334.242","59148.71","65085.583","69566.657","76090.25","81238.718","83757.947","88517.713","93600.175","102998.696","99845.076","92562.414","99111.676","106493.347","106984.725","93867.866","98022.577","101689.577","93431.493","96299.087","98392.944","100497.802","106852.713","114018.031","113787.01","122188.107","121198.017","116452.919","114857.774","110604.054","111792.162","111953.51","122034.093","111414.461","91267.963","89856.168","80549.322","76284.601","68858.926","75785.889","","","","","",
"Central Europe and the Baltics","CEB","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","363489.558269817","380349.800592334","399923.303489765","429332.375971254","456819.555545514","459512.261116071","465843.202457535","471023.063555096","493715.788363458","519671.62011324","523818.592241943","526172.140240636","546418.819530706","553484.602277874","564342.783328615","596824.828961237","617415.80457426","638119.832711237","664743.70210257","680971.878041159","711937.99210257","659116.769660279","678844.435090375","691537.150279835","713695.444974957","739723.219239983","744214.487691638","768006.905233014","743777.693849086","713823.913752178","582205.082113459","552199.914505662","542734.335","524997.056","489335.481","492085.731","496262.444","486079.185","441473.797","413340.573","410454.644","414224.32","404543.44","417509.952","406043.243","402427.581","421308.964","421319.965","407462.372","369413.58","389919.444","397198.439","367286.72","364430.127","347561.927","","","","","",
"Switzerland","CHE","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","6882.959","5984.544","6255.902","7414.674","5177.804","4429.736","3567.991","2750.25","2412.886","2317.544","2156.196","1463.133","1301.785","1235.779","1045.095","773.737","737.067","946.086","883.747","891.081","1287.117","1917.841","1870.17","1954.511","2002.182","2002.182","1719.823","1609.813","1386.126","1378.792","1356.79","1151.438","810.407","671.061","682.062","722.399","546.383","421.705","348.365","359.366","513.38","546.383","498.712","509.713","484.044","550.05","550.05","645.392","586.72","542.716","546.383","509.713","462.042","469.376","542.716","","","","","",
"Channel Islands","CHI","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","4514.077","4444.404","4774.434","4605.752","4407.734","4363.73","4338.061","4558.081","4690.093","4734.097","4767.1","5155.802","4360.063","4675.425","4492.075","3571.658","3648.665","3854.017","3920.023","4250.053","5122.799","4935.782","3296.633","4044.701","5229.142","5060.46","5302.482","5236.476","7194.654","9893.566","10714.974","8635.785","7462.345","7634.694","9369.185","10318.938","14425.978","18621.026","17784.95","18533.018","14253.629","9270.176","9387.52","9251.841","10289.602","10260.266","12548.474","13017.85","16747.189","13443.222","16538.17","20865.23","23494.469","25415.977","25628.663","","","","","",
"China","CHN","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","748988.417","522903.199","412262.475","406457.614","401899.533","433347.725","470153.404","383912.898","413058.214","501586.928","666411.244","737030.33","771349.783","784385.968","776736.606","907380.815","911132.156","999426.182","1118361.66","1148489.732","1123583.468","1125923.014","1249878.615","1322925.255","1455388.296","1585808.818","1658745.448","1771718.384","1894247.522","1921808.694","1978302.496","2051598.492","2116449.387","2230570.094","2382537.908","2571857.784","2662579.364","2611692.405","2446772.747","2380440.384","2398390.349","2430843.299","2781045.466","3321997.639","3838428.583","4428012.51","4909390.601","5294234.917","5734164.907","6033436.111","6574171.931","7315771.343","7470918.446","7499587.052","7431146.164","","","","","",
"Cote d'Ivoire","CIV","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Cameroon","CMR","CO2 emissions from solid fuel consumption (kt)","EN.ATM.CO2E.SF.KT","3.667","3.667","0","0","0","0","0","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","0","0","0","0","0","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","3.667","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
