"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bolivia","BOL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","11.001","84.341","80.674","84.341","91.675","106.343","132.012","139.346","128.345","190.684","62.339","69.673","99.009","117.344","286.026","249.356","304.361","337.364","645.392","678.395","667.394","674.728","667.394","605.055","465.709","421.705","462.042","605.055","594.054","865.412","1437.464","1507.137","1822.499","1881.171","2207.534","2453.223","2794.254","3369.973","2882.262","3105.949","5364.821","2702.579","4506.743","4070.37","3989.696","4514.077","7451.344","4140.043","4770.767","5276.813","5848.865","6178.895","7036.973","7091.978","7854.714","","","","","",
"Brazil","BRA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","113.677","113.677","110.01","165.015","161.348","194.351","245.689","256.69","231.021","234.688","154.014","249.356","275.025","377.701","693.063","781.071","916.75","1133.103","1485.135","1631.815","1884.838","1686.82","2383.55","3380.974","4173.046","4998.121","5991.878","6644.604","6846.289","7311.998","7425.675","7264.327","7803.376","8522.108","8841.137","9486.529","10630.633","11800.406","12383.459","13923.599","18023.305","22900.415","28349.577","29211.322","36097.948","38279.813","40072.976","40579.022","48569.415","39156.226","52702.124","50523.926","59874.776","71136.133","78096.099","","","","","",
"Barbados","BRB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","3.667","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","7.334","3.667","7.334","3.667","3.667","7.334","7.334","18.335","22.002","25.669","14.668","18.335","22.002","36.67","47.671","51.338","44.004","51.338","55.005","55.005","44.004","40.337","51.338","44.004","51.338","55.005","44.004","69.673","91.675","73.34","62.339","55.005","47.671","47.671","51.338","51.338","36.67","33.003","33.003","29.336","33.003","36.67","44.004","25.669","","","","","",
"Brunei Darussalam","BRN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","304.361","275.025","293.36","300.694","267.691","326.363","289.693","293.36","286.026","322.696","388.702","363.033","737.067","861.745","1367.791","1518.138","1023.093","1789.496","3604.661","3476.316","2904.264","1184.441","1177.107","1312.786","1096.433","1235.779","942.419","2079.189","4066.703","4723.096","4594.751","2467.891","2805.255","2772.252","2629.239","2735.582","2827.257","2933.6","3050.944","1668.485","3047.277","2907.931","2852.926","2904.264","3245.295","3285.632","3241.628","5944.207","6497.924","5603.176","6131.224","7293.663","7121.314","5628.845","6776.616","","","","","",
"Bhutan","BTN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Botswana","BWA","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Central African Republic","CAF","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Canada","CAN","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","21554.626","22984.756","25999.03","22383.368","34187.441","38067.127","42456.526","45100.433","55569.718","58345.637","62676.364","67524.138","76548.625","81935.448","83585.598","85983.816","99009","102037.942","104637.845","112664.908","112133.193","110116.343","110417.037","114124.374","121330.029","125327.059","115877.2","119217.837","127307.239","138535.593","125378.397","126896.535","133717.155","141912.9","148891.201","153705.972","161325.998","162532.441","156012.515","162946.812","170075.46","164626.298","167992.604","182605.599","178703.911","184644.451","182092.219","180097.371","180618.085","179132.95","180101.038","191179.045","190661.998","197434.947","203283.812","","","","","",
"Central Europe and the Baltics","CEB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134765.917","130688.213","125686.425","136515.076","145194.865","134545.897","130812.891","127079.885","129137.072","133984.846","132455.707","140930.144","139980.391","143313.694","142070.581","137351.152","134428.553","119899.899","130083.158","126401.49","123768.584","119041.821","110611.388","","","","","",
"Switzerland","CHE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","-3.667","-3.667","-3.667","-3.667","-3.667","0","-3.667","3.667","22.002","25.669","84.341","201.685","256.69","348.365","737.067","1184.441","1239.446","1415.462","1554.808","1738.158","1983.847","2141.528","2262.539","2486.226","2772.252","2904.264","2973.937","3186.623","3208.625","3490.984","3736.673","4195.048","4411.401","4627.754","4561.748","5027.457","5441.828","5254.811","5408.825","5603.176","5573.84","5801.194","5694.851","6017.547","6208.231","6373.246","6197.23","6035.882","6428.251","6171.561","6893.96","6112.889","6703.276","7058.975","6116.556","","","","","",
"Channel Islands","CHI","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","91.675","102.676","102.676","102.676","102.676","113.677","113.677","124.678","128.345","143.013","2368.882","2493.56","2555.899","2266.206","2258.872","2258.872","1598.812","1507.137","913.083","1419.129","1433.797","1642.816","1697.821","1804.164","1811.498","1848.168","1686.82","1653.817","2203.867","3256.296","2614.571","2200.2","2614.571","2449.556","2632.906","2618.238","2684.244","4532.412","6446.586","9039.155","11928.751","13527.563","13516.562","14748.674","16061.46","15570.082","14345.304","8771.464","4829.439","6384.247","10234.597","10458.284","9816.559","9299.512","8151.741","","","","","",
